country_region_nk,file_name,descriptions,image_path
was,hotairballoon_cappadocia,"Hot air balloon, Turkiye",images/was/was_hotairballoon_cappadocia.JPG
weu,amsterdam_canal,"Amsterdam's canal, Netherlands",images/weu/weu_amsterdam_canal.JPG
weu,denhaag_art,Art Gallery in The Hague,images/weu/weu_denhaag_art.JPG
was,baku_heydar,"Heydar Aliyev Center, Azerbaijan",images/was/was_baku_heydar.JPG
seu,seville_alcazar,"Royal Alcázar of Seville, Spain",images/seu/seu_seville_alcazar.JPG
was,gundam_riyadh,"Gundam Glory in Riyadh, KSA",images/was/was_gundam_riyadh.JPG
seu,porto,"Amazing Porto, Portugal",images/seu/seu_porto.JPG
naf,alexandria,"Sunset in Alexandria, Egypt",images/naf/naf_alexandria.JPG
was,clock_tower_makkah,"Makkah Locale Vibes, KSA",images/was/was_clock_tower_makkah.JPG
neu,icecave,"Jökulsárlón Ice Cave, Iceland",images/neu/neu_icecave.JPG
weu,autumn_delft,"Autumn in Delft, Netherlands",images/weu/weu_autumn_delft.JPG
cas,charyn_almaty,"Charyn Canyon Serenity, Almaty",images/cas/cas_charyn_almaty.JPG
eeu,old_town_prague,"Prague Gate Charm, Czechia",images/eeu/eeu_old_town_prague.JPG
eeu,krumlov,"Krumlov's Magic Scene, Czechia",images/eeu/eeu_krumlov.JPG
eeu,snowy_ljubljana,"Snowy Ljubljana Beauty, Slovenia",images/eeu/eeu_snowy_ljubljana.JPG
was,kaaba,"Kaaba Crowd Majesty, KSA",images/was/was_kaaba.JPG
weu,lille,"Lille's Allure, France",images/weu/weu_lille.JPG
cas,rudaki,"Dushanbe's Rudaki Park, Tajikistan",images/cas/cas_rudaki.JPG
was,amman,"Amman's Cityscape, Jordan",images/was/was_amman.JPG
weu,annecy,"Vintage Vine Annecy, France",images/weu/weu_annecy.JPG
was,petra,"Enchanting Petra, Jordan",images/was/was_petra.JPG
was,burjkhalifa,"The Burj Khalifa, UAE",images/was/was_burjkhalifa.JPG
cas,madrasah,Uzbekistan's Madrasa,images/cas/cas_madrasah.JPG
eeu,bratislava,"Bratislava's Charm, Slovekia",images/eeu/eeu_bratislava.JPG
was,armenia,Armenia's Cidatel View,images/was/was_armenia.JPG
was,manama,"The Manama Tower, Bahrain",images/was/was_manama.JPG
naf,salaheldin,"Salah El Din Citadel, Egypt",images/naf/naf_salaheldin.JPG
was,amman_citadel,"Amman Citadel Grace, Jordan",images/was/was_amman_citadel.JPG
was,bahrain,Bahrain Beauty,images/was/was_bahrain.JPG
seas,la,"Rice Fields, Indonesia",images/seas/seas_la.JPG
seu,granada,"Granada, Spain",images/seu/seu_granada.JPG
was,souk_qatar,"Souk Delight, Qatar",images/was/was_souk_qatar.JPG
eeu,winter_ljubljana,"Snow-Covered Branches, Slovenia",images/eeu/eeu_winter_ljubljana.JPG
seas,siam_reap_temple_2,"More Temples of Siem Reap, Cambodia",images/seas/seas_siam_reap_temple_2.JPG
seas,siam_reap_temple,"Sacred Temples of Siem Reap, Cambodia",images/seas/seas_siam_reap_temple.JPG
was,istanbul,"Istanbul's Unique Blend of Cultures, Turkey",images/was/was_istanbul.JPG
was,pamukkale,"White Travertine Terraces, Turkiye",images/was/was_pamukkale.JPG
seas,sg_flower,Singapore's Blossoming Gardens,images/seas/seas_sg_flower.JPG
naf,hassan_mosque,"Hassan II Mosque, Morocco",images/naf/naf_hassan_mosque.JPG
seas,jogja_beach,Jogja's Pristine Beach,images/seas/seas_jogja_beach.JPG
weu,berlin,"Vibrant Scenes, Germany",images/weu/weu_berlin.JPG
seu,spider_bilbao,"Spider Sculpture, Spain",images/seu/seu_spider_bilbao.JPG
seu,rome,"Eternal City's Timeless Charm, Italy",images/seu/seu_rome.JPG
seas,singapore,Singapore's Urban Oasis,images/seas/seas_singapore.JPG
weu,gavarnie,"Gavarnie, France",images/weu/weu_gavarnie.JPG
weu,brandenburg,Brandenburg Gate,images/weu/weu_brandenburg.JPG
